yob,date,values
1953,2005,3.3157895
1953,2006,2.8666667
1953,2007,3.1666667
1953,2008,3
1953,2009,2.75
1953,2010,3
1953,2011,2.9411765
1953,2012,3.2
1953,2013,3.7222222
1953,2014,2.9473684
1953,2016,2.9166667
1954,2003,3.25
1954,2004,3.1153846
1954,2005,3.04
1954,2006,3.2962963
1954,2007,2.9565217
1954,2008,3.2592593
1954,2009,3.2105263
1954,2010,3.3333333
1954,2011,2.85
1954,2012,3.1666667
1954,2013,2.8888889
1954,2014,3.25
1954,2016,3.2105263
1955,2003,3.0526316
1955,2004,3.2142857
1955,2005,3.21875
1955,2006,2.85
1955,2007,3.375
1955,2008,3.0434783
1955,2009,3.1578947
1955,2010,2.7096774
1955,2011,3.2631579
1955,2012,3.1904762
1955,2013,3.4
1955,2014,3.173913
1955,2016,3.1
1956,2003,3.0434783
1956,2004,3.2307692
1956,2005,2.6842105
1956,2006,3.2972973
1956,2007,2.7142857
1956,2008,3.3448276
1956,2009,3.4583333
1956,2010,3
1956,2011,3.5238095
1956,2012,2.6153846
1956,2013,3.25
1956,2014,3.3
1956,2016,3.2941176
1957,2003,3.2
1957,2004,3.28
1957,2005,3.2
1957,2006,2.7777778
1957,2007,3.1666667
1957,2008,3.5384615
1957,2009,3.1304348
1957,2010,3.28
1957,2011,3.2608696
1957,2012,3.24
1957,2013,3.2631579
1957,2014,3.1
1957,2016,3.3684211
1958,2003,3.3793103
1958,2004,3.2
1958,2005,3.28
1958,2006,3.3611111
1958,2007,2.8518519
1958,2008,3.2647059
1958,2009,3.0294118
1958,2010,2.7857143
1958,2011,3.4
1958,2012,3.3636364
1958,2013,3.1875
1958,2014,3.1666667
1958,2016,2.7368421
1959,2003,3.2222222
1959,2004,2.969697
1959,2005,3.2666667
1959,2006,3.2564103
1959,2007,3.2121212
1959,2008,3.1935484
1959,2009,3.375
1959,2010,2.6190476
1959,2011,3.24
1959,2012,3.1153846
1959,2013,3.0625
1959,2014,3
1959,2016,3.125
1960,2003,3.1
1960,2004,2.8636364
1960,2005,3.1627907
1960,2006,3.2444444
1960,2007,3.0645161
1960,2008,3
1960,2009,3
1960,2010,3.0416667
1960,2011,2.9428571
1960,2012,3.137931
1960,2013,3.1
1960,2014,3.15
1960,2016,2.9375
1961,2003,3.1724138
1961,2004,3.0588235
1961,2005,3.0526316
1961,2006,2.9111111
1961,2007,3.0909091
1961,2008,3.36
1961,2009,3.1851852
1961,2010,2.7714286
1961,2011,2.2857143
1961,2012,3.1304348
1961,2013,3
1961,2014,2.9090909
1961,2016,2.6818182
1962,2003,3.3636364
1962,2004,3.1481481
1962,2005,3.1777778
1962,2006,3
1962,2007,3.0588235
1962,2008,3.0909091
1962,2009,2.9459459
1962,2010,3.0769231
1962,2011,2.6153846
1962,2012,3
1962,2013,2.90625
1962,2014,3.1034483
1962,2016,3.1875
1963,2003,2.8684211
1963,2004,3
1963,2005,2.8636364
1963,2006,3.0967742
1963,2007,3.1388889
1963,2008,3.2941176
1963,2009,2.8541667
1963,2010,3
1963,2011,2.9210526
1963,2012,2.5
1963,2013,3.1621622
1963,2014,2.6153846
1963,2016,3
1964,2003,3.0571429
1964,2004,3.0232558
1964,2005,3.1944444
1964,2006,2.8461538
1964,2007,3.1388889
1964,2008,2.975
1964,2009,2.8857143
1964,2010,2.8
1964,2011,2.9230769
1964,2012,3.0416667
1964,2013,3.2
1964,2014,2.7666667
1964,2016,2.6086957
1965,2003,3.2727273
1965,2004,3.0714286
1965,2005,2.8684211
1965,2006,3.22
1965,2007,3.025641
1965,2008,2.9574468
1965,2009,3
1965,2010,3.0833333
1965,2011,2.9714286
1965,2012,3
1965,2013,2.8695652
1965,2014,3.1428571
1965,2016,3.2
1966,2003,3.2142857
1966,2004,2.9459459
1966,2005,3.1714286
1966,2006,3.2115385
1966,2007,2.9285714
1966,2008,3.1578947
1966,2009,2.8095238
1966,2010,3.1190476
1966,2011,3.15625
1966,2012,2.6363636
1966,2013,2.9411765
1966,2014,3.2758621
1966,2016,2.7826087
1967,2003,3.1777778
1967,2004,3.0285714
1967,2005,2.8372093
1967,2006,3.2368421
1967,2007,3.1219512
1967,2008,3.037037
1967,2009,2.9787234
1967,2010,2.7666667
1967,2011,2.8529412
1967,2012,3.1666667
1967,2013,3.0857143
1967,2014,2.875
1967,2016,3
1968,2003,3.1785714
1968,2004,2.8717949
1968,2005,3.1707317
1968,2006,2.7560976
1968,2007,2.9534884
1968,2008,3.0857143
1968,2009,2.9189189
1968,2010,2.9512195
1968,2011,3.0540541
1968,2012,2.4444444
1968,2013,2.7428571
1968,2014,3.0285714
1968,2016,2.85
1969,2003,2.8857143
1969,2004,2.7777778
1969,2005,2.7692308
1969,2006,3.2564103
1969,2007,2.9473684
1969,2008,3.1136364
1969,2009,2.9230769
1969,2010,2.9677419
1969,2011,3
